Berichtsjahr,Berichtsmonat,Segment,Marke,Modellreihe,Anzahl,ZS Anzahl,Diesel,ZS Diesel,Hybrid,ZS Hybrid,Benzin-Hybrid,ZS Benzin-Hybrid,Diesel-Hybrid,ZS Diesel-Hybrid,Hybrid (ohne Plug-in),ZS Hybrid (ohne Plug-in),Benzin-Hybrid (ohne Plug-in),ZS Benzin-Hybrid (ohne Plug-in),Diesel-Hybrid (ohne Plug-in),ZS Diesel-Hybrid (ohne Plug-in),Plug-in-Hybrid,ZS Plug-in-Hybrid,Benzin-Plug-in-Hybrid,ZS Benzin-Plug-in-Hybrid,Diesel-Plug-in-Hybrid,ZS Diesel-Plug-in-Hybrid,Elektro (BEV),ZS Elektro (BEV),Allradantrieb,ZS Allrad,offener Aufbau,ZS offener Aufbau,gewerblich,ZS gewerblich,ObjectId,Monat Sortierung
2025,Mai,MITTELKLASSE,AUDI,A4,179,,,-,168,,144,,24,,168,,144,,24,,,-,,-,,-,,-,158,,,-,159,,20395,5
2025,Mai,MITTELKLASSE,AUDI,A5,2123,,8,,988,,238,,750,,952,,202,,750,,36,,36,,,-,,-,893,,7,,1870,,20396,5
2025,Mai,MITTELKLASSE,BMW,3ER,2409,,,-,1487,,457,,1030,,1158,,128,,1030,,329,,329,,,-,,-,1251,,,-,2051,,20397,5
2025,Mai,MITTELKLASSE,BMW,4ER,1973,,,-,602,,241,,361,,602,,241,,361,,,-,,-,,-,788,,1111,,452,,1537,,20398,5
2025,Mai,MITTELKLASSE,BYD,SEAL,164,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,164,,66,,,-,145,,20399,5
2025,Mai,MITTELKLASSE,CITROEN,C5,1015,,525,,486,,486,,,-,452,,452,,,-,34,,34,,,-,,-,,-,,-,955,,20400,5
2025,Mai,MITTELKLASSE,GWM,ORA 07,8,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,8,,3,,,-,8,,20401,5
2025,Mai,MITTELKLASSE,HYUNDAI,G70,2,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,1,,,-,2,,20402,5
2025,Mai,MITTELKLASSE,HYUNDAI,IONIQ6,99,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,99,,61,,,-,96,,20403,5
2025,Mai,MITTELKLASSE,MAZDA,6,26,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,8,,,-,,-,24,,20404,5
2025,Mai,MITTELKLASSE,MERCEDES,C-KLASSE,2471,,,-,2471,,1341,,1130,,2022,,1088,,934,,449,,253,,196,,,-,357,,,-,1302,,20405,5
